date,time,session_id,file_name,file_size,file_rows,distributions_selected,distributions_count,custom_ensurence_value
2026-01-29,15:13:53,5ab3ab0b-82d1-4468-8654-8e394dc26590,Расчет Q и H — копия.xlsx,10860,83,[],0,None
2026-01-29,15:13:55,5ab3ab0b-82d1-4468-8654-8e394dc26590,Расчет Q и H — копия.xlsx,10860,None,['Обобщенное (L-мом)'],1,None
2026-01-29,15:13:56,5ab3ab0b-82d1-4468-8654-8e394dc26590,Расчет Q и H — копия.xlsx,10860,None,['Обобщенное (L-мом)'],1,0.001
2026-01-29,15:13:59,5ab3ab0b-82d1-4468-8654-8e394dc26590,Расчет Q и H — копия.xlsx,10860,83,[],0,None
2026-01-29,15:14:00,5ab3ab0b-82d1-4468-8654-8e394dc26590,Расчет Q и H — копия.xlsx,10860,None,['Обобщенное (L-мом)', 'Гумбеля (L-мом)'],2,None
2026-01-29,15:24:29,d8d77bac-32d0-4aa6-822a-f9d18137a5d2,Уровни.xlsx,10848,62,[],0,None
2026-01-29,15:24:31,d8d77bac-32d0-4aa6-822a-f9d18137a5d2,Уровни.xlsx,10848,None,['Обобщенное (L-мом)'],1,None
2026-01-29,15:24:32,d8d77bac-32d0-4aa6-822a-f9d18137a5d2,Уровни.xlsx,10848,None,['Обобщенное (L-мом)'],1,0.001
2026-01-29,15:24:34,d8d77bac-32d0-4aa6-822a-f9d18137a5d2,Уровни.xlsx,10848,62,[],0,None
2026-01-29,15:24:36,d8d77bac-32d0-4aa6-822a-f9d18137a5d2,Уровни.xlsx,10848,None,['Обобщенное (L-мом)', 'Крицкого-Менкеля (ММП)'],2,None
